0,1,2,3,4,5,6,7
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,苏州·吴中·金鸡湖,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682187207.htm
Java开发工程师（银行项目经验优先）,          东华软件股份公司        ,面议,Java项目|上市公司|1000-9999人|计算机软件,泸州·江阳区·华阳街道,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40490703007.htm
JAVA开发工程师,          新环境        ,1万-1.5万,Java|民营|10000人以上|房地产开发,长沙·芙蓉·定王台,1-3年,本科,http://www.zhaopin.com/jobdetail/CC671314420J40619035902.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,南京·建邺·沙洲,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682187007.htm
Java开发工程师(东华医为CLMS事业部-郑州),          东华软件股份公司        ,1万-1.8万,Java|HIS|七险一金|上市公司|1000-9999人|计算机软件,郑州·管城·商都路,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540745907.htm
Java开发工程师（I17）,          中科软科技股份有限公司        ,8千-1.6万,计量模块|I17|IFRS17|股份制企业|1000-9999人|计算机软件,北京·东城·和平里,1-3年,本科,http://www.zhaopin.com/jobdetail/CC120160390J40610876516.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,西安·雁塔·长延堡,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682187107.htm
Java开发工程师,          东华软件股份公司        ,面议,后端开发|上市公司|1000-9999人|计算机软件,上海·浦东·唐镇,1-3年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40283283007.htm
对日JAVA开发工程师,          上海达巴辛软件有限公司        ,9千-1.4万·13薪,Java|COBOL|日语|民营|20-99人|计算机软件,无锡·梁溪·黄巷,3-5年,学历不限,http://www.zhaopin.com/jobdetail/CCL1345680450J40512257116.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,武汉·洪山·关山,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682690407.htm
Java开发工程师(东华医为CLMS事业部-西安),          东华软件股份公司        ,1万-1.8万,Java|HIS|七险一金|上市公司|1000-9999人|计算机软件,西安·雁塔·鱼化寨,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540747007.htm
Java开发工程师,          福建国信立联科技集团有限公司        ,5千-1万,JavaScript|Spring|民营|20人以下|计算机软件,福州·鼓楼·东街,1-3年,本科,http://www.zhaopin.com/jobdetail/CC493977130J40639869009.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,上海·浦东·张江,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682184607.htm
Java开发工程师（驻场海口工商银行）,          东华软件股份公司        ,8千-1.3万,后端开发|七险一金|不出差|上市公司|1000-9999人|计算机软件,海口·美兰·海甸,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40514846607.htm
高级Java开发工程师,          河南秉奇教育科技有限公司        ,5千-1万,Java|MySQL|SpringBoot|微服务架构|AI算法开发|Spring|Mybatis|Redis|民营|20人以下|计算机软件,郑州·中原·梧桐,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1389828730J40517443104.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,北京·朝阳·来广营,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682184707.htm
Java开发工程师(东华医为-郑州),          东华软件股份公司        ,1万-2万,Java|HIS|后端|上市公司|1000-9999人|计算机软件,郑州·管城·商都路,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540531107.htm
java开发工程师,          华峰华锦有限公司        ,6千-1.2万,JavaScript|C++|C|MySQL|民营|10000人以上|纺织业/服饰产品加工制造,莆田·秀屿区·东峤镇,1-3年,本科,http://www.zhaopin.com/jobdetail/CCL1328867560J40651546603.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,长沙·岳麓·麓谷,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682186807.htm
中级java开发工程师（银行经验）,          东华软件股份公司        ,面议,Spring|MySQL|Oracle|上市公司|1000-9999人|计算机软件,济南·历下·趵突泉,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40663182107.htm
初级java开发工程师,          软通动力信息技术(集团)股份有限公司        ,8千-1.3万,JavaScript|民营|10000人以上|互联网,南京·江宁·淳化,1-3年,本科,http://www.zhaopin.com/jobdetail/CC000544460J40621045716.htm
22/23/24届-java开发工程师,          南京葡萄诚信息科技有限公司        ,1万-1.6万,JavaScript|Java|合资|20-99人|互联网,东莞·南城街道,1-3年,本科,http://www.zhaopin.com/jobdetail/CC518391230J40682187307.htm
Java开发工程师(东华医为-天津),          东华软件股份公司        ,1万-2万,Java|HIS|后端|上市公司|1000-9999人|计算机软件,天津·西青·西营门,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540532107.htm
java开发工程师,          新北洋        ,7千-1.2万,Java|Spring|股份制企业|1000-9999人|电子/半导体/集成电路,威海·张村镇,1-3年,本科,http://www.zhaopin.com/jobdetail/CC146106613J90250951000.htm
JAVA开发工程师（工程软件）,          玫德集团        ,8千-1.6万,Java|JavaScript|Spring|Oracle|MySQL|SQLServer|低代码|项目管理|流程引擎|民营|10000人以上|金属制品业,济南·平阴·玫瑰,3-5年,本科,http://www.zhaopin.com/jobdetail/CC171456410J40633265316.htm
Java开发工程师(东华医为楼宇管控组-郑州),          东华软件股份公司        ,1万-1.8万,Java|HIS|七险一金|上市公司|1000-9999人|计算机软件,郑州·管城·商都路,3-5年,本科,http://www.zhaopin.com/jobdetail/CC193399810J40540853607.htm
Java开发工程师,          河北天翼科贸发展有限公司        ,6千-1.2万,Spring|SSH|MySQL|PostgreSQL|Oracle|Mybatis|Python|JavaScript|国企|100-299人|IT服务,唐山·路南区·永红桥街道,1-3年,本科,http://www.zhaopin.com/jobdetail/CC151296410J40434524916.htm
对日java开发工程师,          沈阳东博恒翼科技有限公司        ,6千-1.2万,JavaScript|股份制企业|100-299人|计算机软件,大连·甘井子·七贤岭,1-3年,学历不限,http://www.zhaopin.com/jobdetail/CC272580020J40499476804.htm
